Month Sr No,GRACE/GRACE-FO record index,MONTH,YEAR,START DAY,YEAR,END DAY,COMMON MISSING DAYS,CSR unused days,GFZ unused days,JPL unused days
130,123,JAN,2013,1,2013,31,,,,
131,124,FEB,2013,32,2013,59,58-59,,,
132,NA,MAR,2013,60,2013,90,60-90,,,
133,125,APR,2013,91,2013,120,91-100,,,
134,126,MAY,2013,121,2013,151,,,,
135,127,JUN,2013,152,2013,181,,,,163
136,128,JUL,2013,182,2013,212,,,,
137,NA,AUG,2013,213,2013,243,213-243,,,
138,NA,SEP,2013,244,2013,273,244-273,,,
139,129,OCT,2013,274,2013,304,,,,
140,130,NOV,2013,305,2013,334,,,,
141,131,DEC,2013,335,2013,365,359-361,,,
142,132,JAN,2014,1,2014,31,18-31,17,,
143,NA,FEB,2014,32,2014,59,32-59,,,
144,133,MAR,2014,60,2014,90,,,,
145,134,APR,2014,91,2014,120,,,,
146,135,MAY,2014,121,2014,151,,,,
147,136,JUN,2014,152,2014,181,176-181,,,
148,NA,JUL,2014,182,2014,212,182-212,,,
149,137,AUG,2014,213,2014,243,,,,
150,138,SEP,2014,244,2014,273,,,,
151,139,OCT,2014,274,2014,304,,,,
152,140,NOV,2014,305,2014,336,,"320, 335, 336","335, 336",
153,NA,DEC,2014,335,2014,365,335-365,,,
154,141,JAN,2015,1,2015,31,1 to 12,,,
155,142,FEB,2015,32,2015,59,,,,
156,143,MAR,2015,60,2015,90,,,,
157,144,APR,2015,91,2015,120,,,,
158,145,MAY,2015,102,2015,151,132-151,,,
159,NA,JUN,2015,152,2015,179,152-179,,,
160,146,JUL,2015,180,2015,212,188-193,,,
161,147,AUG,2015,213,2015,243,,,,
162,148,SEP,2015,244,2015,273,271-273,,,
163,NA,OCT,2015,274,2015,304,274-304,,,
164,NA,NOV,2015,305,2015,334,305-334,,,
165,149,DEC,2015,335,2016,3,335-344,,345,"345, 365"
166,150,JAN,2016,1,2016,28,1 to 3,,,20
167,151,FEB,2016,29,2016,60,,,,
168,152,MAR,2016,61,2016,91,,,,
169,NA,APR,2016,92,2016,121,92-121,,,
170,153,MAY,2016,122,2016,152,122-128,,,146
171,154,JUN,2016,153,2016,182,,,,
172,155,JUL,2016,183,2016,213,212-213,,,
173,156,AUG,2016,214,2016,247,214-220,,,
174,NA,SEP,2016,248,2016,274,248-274,,,
175,NA,OCT,2016,275,2016,305,275-305,,,
176,157,NOV,2016,306,2016,345,306-318,"336,337,338",,
177,158,DEC,2016,346,2017,6,,1,,
178,159,JAN,2017,7,2017,34,,,"33, 34",
179,NA,FEB,2017,35,2017,59,35-59,,,
180,160,MAR,2017,60,2017,104,60-75,,,
181,161,APR,2017,100,2017,128,,121-122,,
182,162,MAY,2017,122,2017,142,,122,,
183,163,JUN,2017,143,2017,181,,"155, 180",,
184,NA,JUL,2017,182,2017,212,No Coverage,,,
185,NA,AUG,2017,213,2017,243,No Coverage,,,
186,NA,SEP,2017,244,2017,273,No Coverage,,,
187,NA,OCT,2017,274,2017,304,No Coverage,,,
188,NA,NOV,2017,305,2017,334,No Coverage,,,
189,NA,DEC,2017,335,2017,365,No Coverage,,,
190,NA,JAN,2017,1,2017,31,No Coverage,,,
191,NA,FEB,2017,32,2017,59,No Coverage,,,
192,NA,MAR,2017,60,2017,90,No Coverage,,,
193,NA,APR,2017,91,2017,120,No Coverage,,,
194,NA,MAY,2017,121,2017,151,No Coverage,,,
195,164,JUN,2018,152,2018,181,GRACE-FO begins coverage,,172,172
196,165,JUL,2018,182,2018,212,200-212,,,
197,NA,AUG,2018,213,2018,243,213-243,,,
198,NA,SEP,2018,244,2018,273,244-273,,,
199,166,OCT,2018,274,2018,313,274-294,,,
200,167,NOV,2018,305,2018,334,,,,
201,168,DEC,2018,335,2018,365,,,,
202,169,JAN,2019,1,2019,31,,,,
203,170,FEB,2019,26,2019,63,39-51,,38,
204,171,MAR,2019,60,2019,90,,,,
205,172,APR,2019,91,2019,120,,,,
206,173,MAY,2019,121,2019,151,,,,
207,174,JUN,2019,152,2019,181,,,,
208,175,JUL,2019,182,2019,212,,,,
209,176,AUG,2019,213,2019,243,,,,
210,177,SEP,2019,244,2019,273,,271,271,
211,178,OCT,2019,274,2019,304,,,,
212,179,NOV,2019,305,2019,334,,,,
213,180,DEC,2019,335,2019,365,,,,
214,181,JAN,2020,1,2020,31,19-23,,,
215,182,FEB,2020,32,2020,60,39-43,,,
216,183,MAR,2020,61,2020,91,,,,
217,184,APR,2020,92,2020,121,,,,
218,185,MAY,2020,122,2020,152,,,,
219,186,JUN,2020,153,2020,182,,,,
220,187,JUL,2020,183,2020,213,,,,
221,188,AUG,2020,214,2020,244,,,,
222,189,SEP,2020,245,2020,274,,,,
223,190,OCT,2020,275,2020,305,,,,
224,191,NOV,2020,306,2020,335,,,,
225,192,DEC,2020,336,2020,366,,,,
226,193,JAN,2021,1,2021,31,,,,
227,194,FEB,2021,32,2021,59,,,,
228,195,MAR,2021,60,2021,90,,,,
229,196,APR,2021,91,2021,120,,,,
230,197,MAY,2021,121,2021,151,,,,
231,198,JUN,2021,152,2021,181,,,,
232,199,JUL,2021,182,2021,212,,,,
233,200,AUG,2021,213,2021,243,,,,
234,201,SEP,2021,244,2021,273,,,,
235,202,OCT,2021,274,2021,304,,,,
236,203,NOV,2021,305,2021,334,,,307,
237,204,DEC,2021,335,2021,365,,,,
238,205,JAN,2022,1,2022,31,,,,
239,206,FEB,2022,32,2022,59,,,,
240,207,MAR,2022,60,2022,90,,,,
241,208,APR,2022,91,2022,120,,,,
242,209,MAY,2022,121,2022,151,,,,
243,210,JUN,2022,152,2022,181,,,,
244,211,JUL,2022,182,2022,212,,,,
245,212,AUG,2022,213,2022,243,,215,215,
246,213,SEP,2022,244,2022,273,,,,
247,214,OCT,2022,274,2022,304,,,,
248,215,NOV,2022,305,2022,334,,,,
249,216,DEC,2022,335,2022,365,,,,
250,217,JAN,2023,1,2023,31,,,,
251,218,FEB,2023,32,2023,59,,,,
252,219,MAR,2023,60,2023,90,,"83,85",,
253,220,APR,2023,91,2023,120,,,,
254,221,MAY,2023,121,2023,151,,,,
255,222,JUN,2023,152,2023,181,,,,
256,223,JUL,2023,182,2023,212,,,,
257,224,AUG,2023,213,2023,243,,,,
258,225,SEP,2023,244,2023,273,,,,
259,226,OCT,2023,274,2023,304,,,,
260,227,NOV,2023,305,2023,334,,,,309
261,228,DEC,2023,335,2023,365,,,,
262,229,JAN,2024,1,2024,31,,,,
263,230,FEB,2024,32,2024,60,,,,
264,231,MAR,2024,61,2024,91,,,,
265,232,APR,2024,92,2024,121,,,,
266,233,MAY,2024,122,2024,152,,,,132
267,234,JUN,2024,153,2024,182,,,,
268,235,JUL,2024,183,2024,213,,,,
269,236,AUG,2024,214,2024,244,,225,,225
270,237,SEP,2024,245,2024,274,,,,
271,238,OCT,2024,275,2024,305,285,,,284
272,239,NOV,2024,306,2024,335,,,,
273,240,DEC,2024,336,2024,366,,,,
274,241,JAN,2025,1,2025,31,,,,
275,242,FEB,2025,32,2025,59,,,,
276,243,MAR,2025,60,2025,90,,,,
277,244,APR,2025,91,2025,120,,,,
278,245,MAY,2025,121,2025,151,,,,
